                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.39714,                0.29379,                0.82643,                0.59655,                0.46724,                0.48385,                0.30693,                 1.7055,                 2.0428,                 1.5974,             0.00042305,             0.00042305,             0.00042305
                     57,                0.40619,                0.30579,                0.82976,                0.58576,                0.46019,                0.47573,                0.30744,                 1.7104,                 2.1329,                 1.5951,             0.00041405,             0.00041405,             0.00041405
                     58,                0.39295,                 0.2779,                 0.8252,                0.61838,                0.46623,                0.48229,                0.30257,                  1.751,                 1.9515,                 1.6303,             0.00040505,             0.00040505,             0.00040505
                     59,                0.37608,                0.27213,                 0.8213,                0.57266,                0.45792,                0.47873,                0.29725,                 1.7658,                 2.0337,                 1.6396,             0.00039605,             0.00039605,             0.00039605
                     60,                0.37773,                0.27001,                0.83933,                 0.5988,                0.46712,                0.48191,                0.30955,                 1.6983,                 1.9756,                 1.5964,             0.00038705,             0.00038705,             0.00038705
                     61,                0.37564,                0.28362,                0.81945,                0.57742,                0.46759,                0.48066,                0.30391,                 1.7532,                 2.0747,                 1.6378,             0.00037805,             0.00037805,             0.00037805
                     62,                0.37076,                0.29327,                0.81952,                0.58028,                0.46419,                0.47991,                0.31028,                 1.6898,                 2.0423,                   1.59,             0.00036905,             0.00036905,             0.00036905
                     63,                0.35211,                0.25732,                0.81736,                 0.6266,                0.44254,                0.48613,                0.31331,                 1.7048,                 2.0616,                 1.5949,             0.00036005,             0.00036005,             0.00036005
                     64,                0.35534,                0.26282,                0.81609,                0.62754,                0.43331,                0.47433,                0.29735,                 1.7765,                 2.0892,                 1.6639,             0.00035106,             0.00035106,             0.00035106
                     65,                0.34576,                0.25837,                0.81341,                0.59731,                0.45766,                0.47952,                0.30433,                 1.7514,                 2.1613,                 1.6423,             0.00034206,             0.00034206,             0.00034206
                     66,                0.34729,                0.29165,                0.81449,                0.61071,                0.45068,                0.47764,                0.30104,                 1.7826,                  2.194,                 1.6602,             0.00033306,             0.00033306,             0.00033306
                     67,                 0.3432,                0.25142,                0.81674,                0.60247,                0.45419,                0.48267,                0.30801,                 1.7257,                 2.1328,                  1.634,             0.00032406,             0.00032406,             0.00032406
                     68,                0.32365,                0.25267,                0.80825,                0.60336,                0.44587,                0.47947,                0.30657,                 1.7425,                 2.1912,                 1.6486,             0.00031506,             0.00031506,             0.00031506
                     69,                0.33244,                0.25344,                0.81013,                0.58848,                0.47067,                0.48764,                0.31329,                 1.7201,                 2.0122,                 1.6314,             0.00030606,             0.00030606,             0.00030606
                     70,                0.31885,                0.24585,                0.80676,                0.60651,                0.45722,                0.48508,                0.30404,                 1.7521,                 2.1091,                 1.6511,             0.00029706,             0.00029706,             0.00029706
                     71,                0.31338,                 0.2492,                0.80738,                0.60828,                0.45598,                0.48719,                0.30855,                 1.7391,                 2.1027,                 1.6485,             0.00028806,             0.00028806,             0.00028806
                     72,                0.31834,                0.25468,                0.80887,                0.58438,                0.46337,                 0.4763,                0.29941,                 1.7599,                 2.0765,                 1.6707,             0.00027906,             0.00027906,             0.00027906
                     73,                0.29438,                0.22744,                0.80262,                0.57324,                0.47369,                0.48946,                0.31703,                 1.6857,                 2.0803,                 1.6079,             0.00027006,             0.00027006,             0.00027006
                     74,                0.29076,                0.22483,                0.80411,                0.60429,                0.45638,                0.48286,                 0.3086,                 1.7239,                 2.0911,                 1.6395,             0.00026106,             0.00026106,             0.00026106
                     75,                0.29864,                0.23184,                 0.8024,                0.57931,                0.46307,                0.48069,                0.30507,                 1.7634,                 2.1281,                 1.6678,             0.00025207,             0.00025207,             0.00025207
                     76,                0.28861,                0.23142,                0.80186,                 0.6027,                0.45605,                0.48493,                0.30676,                 1.7441,                 2.1741,                 1.6633,             0.00024307,             0.00024307,             0.00024307
                     77,                0.28242,                0.24251,                0.80174,                0.59898,                0.45566,                0.48483,                0.30645,                 1.7661,                 2.1496,                 1.6959,             0.00023407,             0.00023407,             0.00023407
                     78,                0.27642,                0.21858,                0.79984,                0.58323,                0.45551,                0.48413,                0.31085,                 1.7205,                 2.1249,                 1.6428,             0.00022507,             0.00022507,             0.00022507
                     79,                 0.2732,                0.23624,                0.80204,                0.61015,                0.44676,                0.48311,                0.30873,                 1.7366,                 2.1564,                 1.6534,             0.00021607,             0.00021607,             0.00021607
                     80,                0.26521,                0.21914,                0.79693,                0.59436,                 0.4525,                0.48234,                0.30429,                 1.7698,                 2.1892,                 1.7051,             0.00020707,             0.00020707,             0.00020707
                     81,                0.26152,                0.21242,                0.79692,                0.59578,                0.45879,                0.48561,                0.30918,                 1.7224,                 2.0858,                 1.6548,             0.00019807,             0.00019807,             0.00019807
                     82,                0.25624,                0.20846,                0.79784,                0.60469,                0.45566,                0.48314,                 0.3023,                 1.7824,                  2.164,                 1.7084,             0.00018907,             0.00018907,             0.00018907
                     83,                0.25135,                0.20408,                 0.7956,                0.60338,                0.46105,                0.48282,                0.30613,                 1.7406,                 2.1174,                 1.6745,             0.00018007,             0.00018007,             0.00018007
                     84,                0.25586,                0.22073,                0.79671,                0.61161,                0.45072,                0.48266,                0.30869,                 1.7419,                 2.1449,                 1.6714,             0.00017107,             0.00017107,             0.00017107
                     85,                0.24675,                0.20946,                0.79485,                0.60358,                0.45972,                0.48466,                0.30715,                 1.7435,                 2.1063,                 1.6768,             0.00016207,             0.00016207,             0.00016207
                     86,                0.24634,                0.20279,                0.79584,                0.59089,                0.45303,                0.48538,                0.31289,                 1.7009,                 2.1276,                  1.636,             0.00015308,             0.00015308,             0.00015308
                     87,                0.23487,                0.19521,                0.79212,                  0.615,                0.44033,                0.48215,                0.30583,                 1.7348,                 2.1645,                 1.6728,             0.00014408,             0.00014408,             0.00014408
                     88,                 0.2336,                0.20173,                0.79296,                 0.6104,                0.44979,                0.48318,                0.30905,                 1.7387,                 2.1658,                 1.6763,             0.00013508,             0.00013508,             0.00013508
                     89,                0.23232,                0.20555,                0.79276,                0.61117,                0.45325,                0.48799,                0.30951,                 1.7483,                 2.1626,                  1.685,             0.00012608,             0.00012608,             0.00012608
                     90,                0.22728,                0.20593,                0.79224,                0.63072,                0.44148,                0.48007,                0.30702,                 1.7341,                 2.1824,                 1.6721,             0.00011708,             0.00011708,             0.00011708
                     91,                0.21793,                0.19107,                0.79096,                0.58908,                 0.4616,                 0.4814,                  0.305,                  1.764,                 2.1762,                 1.7116,             0.00010808,             0.00010808,             0.00010808
                     92,                0.22101,                0.20696,                0.79116,                0.61657,                 0.4534,                0.48563,                0.30585,                 1.7636,                 2.1434,                  1.705,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.22047,                 0.1925,                0.79106,                0.60122,                0.45408,                0.48645,                0.31148,                 1.7356,                  2.146,                 1.6849,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.20818,                0.19323,                0.79095,                0.57572,                0.45494,                0.48136,                0.30596,                 1.7584,                 2.2147,                 1.7113,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.20351,                0.18056,                 0.7908,                0.58456,                  0.454,                0.48295,                0.30719,                  1.754,                 2.1831,                 1.6971,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.20363,                0.18131,                   0.79,                0.58415,                0.45769,                0.48216,                0.30707,                 1.7493,                 2.1866,                 1.6968,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.20297,                0.18214,                0.78869,                0.60583,                 0.4522,                0.48522,                0.30876,                  1.748,                 2.2026,                 1.6978,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.19691,                0.18021,                0.78889,                0.58771,                0.45363,                0.48401,                 0.3088,                 1.7388,                 2.1887,                 1.6858,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.19347,                0.17497,                0.78737,                0.60337,                 0.4514,                0.48537,                0.30935,                 1.7474,                 2.1886,                 1.7004,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.19452,                0.20543,                 0.7895,                0.59313,                0.45209,                0.48508,                0.30836,                 1.7493,                 2.1762,                 1.7007,             2.7088e-05,             2.7088e-05,             2.7088e-05
