               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.049755,              0.1247,           0.0081571,             0.54088,             0.46447,             0.45574,             0.26518,             0.05438,              0.1092,            0.021234,            0.002278,            0.002278,            0.002278
                  80,            0.049273,             0.11911,           0.0080058,             0.54588,              0.4461,             0.45363,             0.26307,            0.054077,             0.11203,            0.021473,            0.002179,            0.002179,            0.002179
                  81,            0.049611,             0.12256,           0.0077875,             0.57483,             0.44856,             0.45534,             0.26419,            0.054679,             0.11113,            0.022241,             0.00208,             0.00208,             0.00208
                  82,            0.049043,             0.11874,              0.0076,              0.5699,             0.45867,             0.46559,             0.27272,            0.054049,             0.11261,            0.020263,            0.001981,            0.001981,            0.001981
                  83,            0.049476,             0.12485,           0.0078295,             0.58096,             0.46821,             0.46824,             0.26726,            0.054402,             0.11146,            0.023263,            0.001882,            0.001882,            0.001882
                  84,            0.048607,             0.12411,           0.0075016,             0.54103,             0.46399,             0.46279,             0.26775,            0.054311,             0.11004,            0.021189,            0.001783,            0.001783,            0.001783
                  85,            0.049304,             0.11967,           0.0075701,             0.57869,             0.45976,             0.46626,             0.26741,            0.054443,             0.11153,            0.020832,            0.001684,            0.001684,            0.001684
                  86,            0.049281,             0.11914,            0.007882,             0.57961,             0.47492,             0.46759,             0.27276,            0.054595,             0.11225,            0.022189,            0.001585,            0.001585,            0.001585
                  87,            0.048856,              0.1192,           0.0073795,             0.55954,             0.46185,             0.45555,             0.25903,            0.055353,             0.11353,              0.0218,            0.001486,            0.001486,            0.001486
                  88,            0.048883,             0.11988,           0.0075899,             0.54783,             0.48518,             0.47014,             0.27271,            0.054244,             0.11123,            0.021971,            0.001387,            0.001387,            0.001387
                  89,            0.048415,              0.1191,           0.0069646,             0.54954,              0.4721,             0.46076,              0.2654,            0.054835,             0.11182,            0.020183,            0.001288,            0.001288,            0.001288
                  90,            0.048177,             0.11717,           0.0071989,             0.55892,             0.46771,             0.46353,             0.26996,            0.054155,             0.11219,            0.021291,            0.001189,            0.001189,            0.001189
                  91,            0.048229,             0.11806,           0.0069021,             0.53735,              0.4772,             0.46128,             0.26919,            0.054506,             0.11259,            0.021576,             0.00109,             0.00109,             0.00109
                  92,            0.048375,             0.12246,           0.0069141,             0.56026,             0.48272,             0.47466,             0.27597,            0.053984,             0.11082,             0.02086,            0.000991,            0.000991,            0.000991
                  93,            0.048446,             0.11896,           0.0071125,             0.56806,             0.46804,             0.47203,             0.27464,            0.054202,             0.11166,            0.020952,            0.000892,            0.000892,            0.000892
                  94,            0.048015,             0.11999,           0.0072819,             0.55035,             0.46091,             0.45497,             0.26117,            0.055247,             0.11223,            0.022182,            0.000793,            0.000793,            0.000793
                  95,            0.047848,             0.12243,           0.0071925,             0.58104,             0.46555,             0.47048,             0.27398,            0.054162,             0.11195,            0.021336,            0.000694,            0.000694,            0.000694
                  96,            0.048078,             0.11711,           0.0066238,             0.55685,             0.47319,             0.46524,             0.27061,            0.054538,             0.11227,            0.020801,            0.000595,            0.000595,            0.000595
                  97,             0.04808,             0.11918,           0.0068991,             0.56406,             0.47164,             0.47144,             0.27251,            0.054454,             0.11167,            0.020783,            0.000496,            0.000496,            0.000496
                  98,            0.047917,             0.11983,           0.0066441,              0.5606,             0.47088,             0.46312,             0.26849,            0.054372,             0.11202,             0.02108,            0.000397,            0.000397,            0.000397
                  99,            0.047991,             0.11913,           0.0069012,             0.53718,             0.48194,             0.46501,             0.26869,            0.054617,             0.11191,            0.020705,            0.000298,            0.000298,            0.000298
